"certificate_number","address1","address2","address3","postcode","posttown","address","constituency","constituency_label","local_authority","local_authority_label","built_form","co2_emiss_curr_per_floor_area","co2_emissions_current","co2_emissions_potential","construction_age_band","current_energy_efficiency","current_energy_rating","energy_consumption_current","energy_consumption_potential","energy_tariff","environment_impact_current","environment_impact_potential","extension_count","fixed_lighting_outlets_count","flat_storey_count","flat_top_storey","floor_description","floor_energy_eff","floor_height","floor_level","glazed_area","glazed_type","heat_loss_corridor","heating_cost_current","heating_cost_potential","hot_water_cost_current","hot_water_cost_potential","hot_water_energy_eff","hot_water_env_eff","hotwater_description","inspection_date","lighting_cost_current","lighting_cost_potential","lighting_description","lighting_energy_eff","lighting_env_eff","lodgement_date","lodgement_datetime","low_energy_lighting","low_energy_fixed_lighting_outlets_count","main_fuel","mainheat_description","mainheat_energy_eff","mainheat_env_eff","mainheatc_energy_eff","mainheatc_env_eff","mainheatcont_description","main_heating_controls","mains_gas_flag","mechanical_ventilation","multi_glaze_proportion","number_habitable_rooms","number_heated_rooms","number_open_fireplaces","photo_supply","potential_energy_efficiency","potential_energy_rating","property_type","report_type","roof_description","roof_energy_eff","roof_env_eff","secondheat_description","sheating_energy_eff","sheating_env_eff","solar_water_heating_flag","tenure","total_floor_area","transaction_type","unheated_corridor_length","walls_description","walls_energy_eff","walls_env_eff","wind_turbine_count","windows_description","windows_energy_eff","windows_env_eff","floor_env_eff","region","country","uprn","uprn_source"
"8006-3939-6529-2626-7223","29, Broom Road","Hale",,"WA15 9AR","ALTRINCHAM","29, Broom Road, Hale","E14001065","Altrincham and Sale West","E08000009","Trafford","Semi-Detached","62","12","10","England and Wales: 1900-1929","44","E","321","283","Single","39","44","1","20","3","N","Suspended, no insulation (assumed)","N/A","1.88",,"Normal","double glazing installed during or after 2002",,"1791","1630","189","169","Average","Average","From main system, no cylinder thermostat","2012-02-27","144","74","Low energy lighting in 5% of fixed outlets","Very Poor","Very Poor","2012-02-27","2012-02-27 15:13:58","5","1","mains gas (not community)","Boiler and radiators, mains gas","Good","Good","Average","Average","Programmer, TRVs and bypass","Programmer, TRVs and bypass","Y","natural","60","8","8","2","0","51","E","House","2","Roof room(s), ceiling insulated","Very Poor","Very Poor","None","N/A","N/A","N",,"186","marketed sale",,"Solid brick, as built, no insulation (assumed)","Very Poor","Very Poor","0","Partial double glazing","Average","Average","N/A","E12000002","England","100011625505","Energy Assessor"
"8876-6924-9820-9806-3906","11, Broom Road","Hale",,"WA15 9AR","ALTRINCHAM","11, Broom Road, Hale","E14001065","Altrincham and Sale West","E08000009","Trafford","Mid-Terrace","31","4.2","2.0","England and Wales: 1900-1929","72","C","173","81","dual","67","84","4","31","2","N","Solid, no insulation (assumed)","N/A","2.73",,"Normal","double glazing installed during or after 2002",,"784","518","104","104","Good","Good","From main system","2016-04-06","89","90","Low energy lighting in 94% of fixed outlets","Very Good","Very Good","2016-04-06","2016-04-06 17:43:03","94","29","mains gas (not community)","Boiler and radiators, mains gas","Good","Good","Good","Good","Programmer and at least two room thermostats","Programmer and at least two room thermostats","Y","natural","43","6","6","0","0","87","B","House","2","Pitched, 250 mm loft insulation","Good","Good","None","N/A","N/A","N","owner-occupied","137","Marketed sale",,"Solid brick, as built, no insulation (assumed)","Very Poor","Very Poor","0","Partial double glazing","Poor","Poor","N/A","E12000002","England","100011625493","Energy Assessor"
"8536-5427-1600-0864-0226","3 Broom Road","Hale",,"WA15 9AR","ALTRINCHAM","3 Broom Road, Hale","E14001065","Altrincham and Sale West","E08000009","Trafford","Mid-Terrace","31","4.6","3.2","England and Wales: before 1900","70","C","172","115","Single","65","76","2","17","2","N","Suspended, no insulation (assumed)","N/A","2.73",,,,,"1367","959","200","200","Good","Good","From main system","2026-03-24","81","83","Good lighting efficiency","Good","Good","2026-03-26","2026-03-26 14:00:02","100","17","mains gas (not community)","Boiler and radiators, mains gas","Good","Good","Good","Good","Programmer, room thermostat and TRVs","Programmer, room thermostat and TRVs","Y","natural","2","6","6",,"0","80","C","House","2","Pitched, 250 mm loft insulation","Good","Good","None","N/A","N/A","N","owner-occupied","146","Marketed sale",,"Solid brick, as built, no insulation (assumed)","Poor","Poor","0","Some double glazing","Very Poor","Very Poor","N/A","E12000002","England","100011625485","Energy Assessor"
"0310-2646-2340-2094-5735","9 Broom Road","Hale",,"WA15 9AR","ALTRINCHAM","9 Broom Road, Hale","E14001065","Altrincham and Sale West","E08000009","Trafford","End-Terrace","37","6.3","3.2","England and Wales: 1900-1929","66","D","207","103","Single","58","78","3","33","3","N","Solid, no insulation (assumed)","N/A","1.99",,"Normal","double glazing installed during or after 2002",,"2025","1315","266","167","Good","Good","From main system","2024-04-16","172","172","Low energy lighting in all fixed outlets","Very Good","Very Good","2024-04-16","2024-04-16 15:20:09","100","33","mains gas (not community)","Boiler and radiators, mains gas","Good","Good","Good","Good","Programmer, room thermostat and TRVs","Programmer, room thermostat and TRVs","Y","natural","90","7","7","0","0","83","B","House","2","Flat, insulated (assumed)","Good","Good","Room heaters, dual fuel (mineral and wood)","N/A","N/A","N","owner-occupied","167","Marketed sale",,"Solid brick, as built, no insulation (assumed)","Very Poor","Very Poor","0","Mostly double glazing","Good","Good","N/A","E12000002","England","100011625491","Energy Assessor"
"8876-7925-4890-8434-8926","7, Broom Road","Hale",,"WA15 9AR","ALTRINCHAM","7, Broom Road, Hale","E14001065","Altrincham and Sale West","E08000009","Trafford","End-Terrace","60","7.6","3.3","England and Wales: 1900-1929","50","E","337","144","Single","41","72","2","19","2","N","To unheated space, no insulation (assumed)","N/A","2.74",,"Normal","not defined",,"1421","801","116","80","Good","Good","From main system","2016-05-24","128","73","Low energy lighting in 21% of fixed outlets","Poor","Poor","2016-05-27","2016-05-27 15:29:54","21","4","mains gas (not community)","Boiler and radiators, mains gas","Good","Good","Good","Good","Programmer, room thermostat and TRVs","Programmer, room thermostat and TRVs","Y","natural","0","6","6","5","0","78","C","House","2","Pitched, 100 mm loft insulation","Average","Average","Room heaters, mains gas","N/A","N/A","N","rented (private)","128","Rental",,"Solid brick, as built, no insulation (assumed)","Very Poor","Very Poor","0","Single glazed","Very Poor","Very Poor","N/A","E12000002","England","100011625489","Energy Assessor"
"0142-2856-6441-9828-8135","23, Broom Road","Hale",,"WA15 9AR","ALTRINCHAM","23, Broom Road, Hale","E14001065","Altrincham and Sale West","E08000009","Trafford","Mid-Terrace","61","8.4","5.2","England and Wales: before 1900","48","E","347","211","Single","39","59","1","25","3","N","Solid, no insulation (assumed)","N/A","2",,"Normal","double glazing, unknown install date",,"1474","1091","115","80","Good","Good","From main system","2018-04-26","121","80","Low energy lighting in 48% of fixed outlets","Good","Good","2018-04-27","2018-04-27 08:42:00","48","12","mains gas (not community)","Boiler and radiators, mains gas","Good","Good","Good","Good","Programmer, room thermostat and TRVs","Programmer, room thermostat and TRVs","Y","natural","70","7","7","2","0","69","C","House","2","Pitched, no insulation (assumed)","Very Poor","Very Poor","Room heaters, mains gas","N/A","N/A","N","owner-occupied","138","Marketed sale",,"Solid brick, as built, no insulation (assumed)","Very Poor","Very Poor","0","Partial double glazing","Poor","Poor","N/A","E12000002","England","100011625502","Energy Assessor"
"0799-2889-6852-9972-3301","11, Broom Road","Hale",,"WA15 9AR","ALTRINCHAM","11, Broom Road, Hale","E14001065","Altrincham and Sale West","E08000009","Trafford","Mid-Terrace","144","14","6.6","England and Wales: before 1900","25","F","799","374","dual","9","41","0","17","2","N","Suspended, no insulation (assumed)","N/A","2.8",,"Normal","secondary glazing",,"1459","785","388","85","Very Poor","Very Poor","Electric immersion, off-peak","2012-05-31","95","56","Low energy lighting in 29% of fixed outlets","Average","Average","2012-05-31","2012-05-31 21:04:11","29","5","electricity (not community)","Electric storage heaters","Average","Very Poor","Poor","Poor","Manual charge control","Manual charge control","N","natural","8","5","5","1","0","71","C","House","2","Pitched, no insulation (assumed)","Very Poor","Very Poor","Room heaters, dual fuel (mineral and wood)","N/A","N/A","N",,"99","marketed sale",,"Solid brick, as built, no insulation (assumed)","Very Poor","Very Poor","0","Some secondary glazing","Very Poor","Very Poor","N/A","E12000002","England","100011625493","Energy Assessor"
"8105-6746-3229-6206-2313","4, Broom Road","Hale",,"WA15 9AR","ALTRINCHAM","4, Broom Road, Hale","E14001065","Altrincham and Sale West","E08000009","Trafford","Semi-Detached","43","6.6","3.5","England and Wales: 1900-1929","62","D","241","125","Single","53","75","1","20","3","N","Solid, no insulation (assumed)","N/A","2.32",,"Normal","double glazing, unknown install date",,"1136","745","95","95","Good","Good","From main system","2019-07-04","145","94","Low energy lighting in 45% of fixed outlets","Good","Good","2019-07-04","2019-07-04 16:17:42","45","9","mains gas (not community)","Boiler and radiators, mains gas","Good","Good","Good","Good","Programmer, room thermostat and TRVs","Programmer, room thermostat and TRVs","Y","natural","100","6","6","0","0","81","B","House","2","Pitched, 100 mm loft insulation","Average","Average","None","N/A","N/A","N","unknown","156","Marketed sale",,"Solid brick, as built, no insulation (assumed)","Very Poor","Very Poor","0","Fully double glazed","Average","Average","N/A","E12000002","England","100011625486","Energy Assessor"
"9078-4057-6248-4275-1904","3, Broom Road","Hale",,"WA15 9AR","ALTRINCHAM","3, Broom Road, Hale","E14001065","Altrincham and Sale West","E08000009","Trafford","Mid-Terrace","34","5.1","2.2","England and Wales: before 1900","68","D","190","80","Single","62","83","2","21","2","N","Suspended, insulated (assumed)","N/A","2.76",,"Normal","double glazing installed during or after 2002",,"903","535","120","121","Good","Good","From main system","2015-08-13","128","78","Low energy lighting in 33% of fixed outlets","Average","Average","2015-08-14","2015-08-14 10:01:39","33","7","mains gas (not community)","Boiler and radiators, mains gas","Good","Good","Good","Good","Programmer, room thermostat and TRVs","Programmer, room thermostat and TRVs","Y","natural","21","6","6","0","0","86","B","House","2","Pitched, 250 mm loft insulation","Good","Good","Room heaters, dual fuel (mineral and wood)","N/A","N/A","N","owner-occupied","149","Marketed sale",,"Solid brick, as built, no insulation (assumed)","Very Poor","Very Poor","0","Some double glazing","Poor","Poor","N/A","E12000002","England","100011625485","Energy Assessor"
"7000-5148-0522-2626-3763","8 Broom Road","Hale",,"WA15 9AR","ALTRINCHAM","8 Broom Road, Hale","E14001065","Altrincham and Sale West","E08000009","Trafford","Semi-Detached","35","6.2","4.6","England and Wales: before 1900","67","D","188","136","Single","60","71","2","25","3","N","Suspended, no insulation (assumed)","N/A","2.81",,,,,"1849","1383","216","217","Good","Good","From main system","2026-03-24","93","93","Good lighting efficiency","Good","Good","2026-03-26","2026-03-26 13:53:49","100","25","mains gas (not community)","Boiler and radiators, mains gas","Good","Good","Good","Good","Programmer, room thermostat and TRVs","Programmer, room thermostat and TRVs","Y","natural","59","9","9",,"0","77","C","House","2","Pitched, Unknown loft insulation","Average","Average","None","N/A","N/A","N","owner-occupied","180","Marketed sale",,"Solid brick, as built, no insulation (assumed)","Poor","Poor","0","Partial double glazing","Very Poor","Very Poor","N/A","E12000002","England","100011625490","Energy Assessor"
